Table-18:  Deposits  distributed by Size of Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,(Amount in Crore Tk),,,,,,,,,(Amount in Crore Tk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,,,,,,,2019,,,,,,,,2020,,,,,,,,2021,,,,,,,,2022,,,,,,,,2023,,,,,,,,2024,
,Q-1,,Q-2,,Q-3,,Q-4,,Q-1,,Q-2,,Q-3,,Q-4,,Q-1,,Q-2,,Q-3,,Q-4,,Q-1,,Q-2,,Q-3,,Q-4,,Q-1,,Q-2,,Q-3,,Q-4,,Q-1,,Q-2,,Q-3,,Q-4,,Q*-1,
Account Size Range Name,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk,No. of Accounts,Deposit Amount in crore Tk
"Tk. 20,00,00,001 to Tk. 25,00,00,000",820.00,18502.38,876.00,19752.02,858.00,19329.55,906.00,20417.11,909.00,20462.68,973.00,21946.17,953.00,21563.29,997.00,22563.10,963.00,21794.89,992.00,22343.82,1040.00,23631.99,1133.00,25606.38,1081.00,24515.36,1185.00,27039.38,1183.00,26907.19,1154.00,26047.53,1155,26089,1151,25921,1147,25861,1143,25840,1145,25859,1276,28864,1274,28859,1345,30514,1221,27729
"Tk. 25,00,00,001 to Tk. 30,00,00,000",510.00,14114.72,514.00,14287.77,509.00,14107.38,504.00,14033.98,522.00,14472.46,531.00,14785.36,519.00,14407.44,588.00,16393.67,608.00,16891.21,605.00,16643.64,626.00,17392.43,725.00,20021.64,766.00,21068.37,839.00,23187.49,916.00,25255.21,901.00,24843.58,886,24447,883,24300,860,23717,887,24443,927,25569,909,25084,919,25395,912,25298,875,24351
"TK. 30,00,00,001 to TK. 35,00,00,000",284.00,9216.12,330.00,10690.23,323.00,10533.85,322.00,10497.48,307.00,9966.41,322.00,10459.68,344.00,11164.15,340.00,11056.90,301.00,9763.07,383.00,12333.28,352.00,11427.80,384.00,12417.35,388.00,12558.16,425.00,13768.67,430.00,13914.90,438.00,14123.09,458,14771,502,16231,458,14815,472,15309,499,16198,507,16483,512,16591,480,15590,501,16232
"Tk. 35,00,00,001 to Tk. 40,00,00,000",206.00,7811.20,210.00,7954.52,212.00,8023.30,220.00,8345.27,219.00,8289.99,262.00,9894.30,242.00,9160.40,246.00,9319.90,247.00,9371.40,224.00,8473.70,268.00,10112.61,294.00,11099.48,296.00,11191.48,314.00,11864.03,326.00,12229.88,285.00,10735.36,290,10947,307,11585,319,12036,315,11879,327,12305,353,13330,343,12989,369,13911,360,13585
"Tk. 40,00,00,001 to Tk. 50,00,00,000",360.00,16877.45,405.00,18940.85,379.00,17799.79,358.00,16708.45,364.00,16909.64,364.00,16892.47,371.00,17235.33,384.00,17758.55,384.00,17710.01,418.00,19313.96,472.00,21845.84,478.00,22234.32,504.00,23428.80,590.00,27486.94,629.00,29217.16,591.00,27475.62,644,29861,621,28600,523,24120,577,26726,646,29924,722,33374,747,34701,738,34380,681,31841
"Tk. 50,00,00,001 and above",941.00,136714.00,1004.00,148089.69,1043.00,146871.53,1148.00,165752.73,1149.00,165201.00,1238.00,175414.30,1221.00,170159.75,1283.00,180504.17,1234.00,174813.03,1269.00,192098.01,1303.00,191341.54,1390.00,205769.12,1370.00,204390.05,1527.00,216385.02,1569.00,215904.63,1715.00,225494.63,1697,230046,1805,236812,1660,219909,1762,229797,1758,235131,1824,258544,1778,249258,1812,253008,1826,253825
Grand Total,90253447.00,992140.35,92139244.00,1036641.42,93845278.00,1040038.72,95230222.00,1081541.89,98335208.00,1088472.53,100337196.00,1139831.62,102881963.00,1159288.97,106595211.00,1214455.30,110536581.00,1210497.89,111699766.00,1264167.16,112745729.00,1312629.80,115812966.00,1379150.45,118552337.00,1384325.04,121549266.00,1439763.27,123563346.00,1462888.13,124896934.00,1512472.56,127352893,1514895,129514513,1573823,133436088,1576371,136249764,1588011,141137256,1613063,145973192,1687025,149770684,1713135,153560937,1749132,157120227,1762303
Note: *=Provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Statistics Department, Bangladesh Bank.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
